Wall time,Step,Value
1748349566.9203346,0,0.4535631835460663
1748349570.6706183,1,0.4847933351993561
1748349574.1668432,2,0.4822772443294525
1748349577.4406247,3,0.5042443871498108
1748349580.950087,4,0.5121366381645203
1748349584.4257758,5,0.5043665766716003
1748349587.6598053,6,0.4768352210521698
1748349590.881057,7,0.49581316113471985
1748349594.371917,8,0.47557464241981506
1748349597.6758876,9,0.5099318027496338
1748349601.0434852,10,0.4704872667789459
1748349604.251673,11,0.5220403075218201
1748349607.7486186,12,0.5165525674819946
1748349611.053337,13,0.5486959218978882
1748349614.5755796,14,0.5251517295837402
1748349617.8399775,15,0.5393224954605103
1748349621.120432,16,0.5447521209716797
1748349624.4712846,17,0.5343332886695862
1748349628.0064127,18,0.5494788885116577
1748349631.5290735,19,0.5585840344429016
1748349634.8319824,20,0.5372176766395569
1748349638.1510885,21,0.5517337918281555
1748349641.3860004,22,0.5509763360023499
1748349644.6362777,23,0.5871096253395081
1748349648.1966372,24,0.5776341557502747
1748349651.478378,25,0.5888031125068665
1748349655.1755433,26,0.5615532994270325
1748349659.0953007,27,0.5764744281768799
1748349663.6756868,28,0.603873074054718
1748349667.2830923,29,0.5975848436355591
1748349670.7106507,30,0.5862880945205688
1748349674.0909433,31,0.5837263464927673
1748349677.513506,32,0.5962358713150024
1748349681.2758064,33,0.5967026948928833
1748349684.8371575,34,0.622623860836029
1748349688.507896,35,0.6102569103240967
1748349691.9801695,36,0.6170085668563843
1748349695.6974292,37,0.6167290210723877
1748349699.2759955,38,0.6205008625984192
1748349702.9498909,39,0.6276066303253174
1748349706.660629,40,0.6148901581764221
1748349710.5886476,41,0.6384789943695068
1748441781.4311943,42,0.6176890730857849
1748441784.9376402,43,0.6312156915664673
1748441788.420642,44,0.6405592560768127
1748441791.9864895,45,0.6321881413459778
1748441795.411297,46,0.6452756524085999
1748441798.9331641,47,0.6241909861564636
1748441802.1693864,48,0.6448549628257751
1748441805.4974973,49,0.6151360869407654
1748441808.8034592,50,0.6323626637458801
1748441812.2465148,51,0.6183887720108032
1748441815.5421803,52,0.6482672691345215
1748441818.9208016,53,0.6585420370101929
1748441822.3091855,54,0.6748716831207275
1748441825.6282046,55,0.6545220613479614
1748441828.9952662,56,0.6794546842575073
1748441832.4041877,57,0.6659233570098877
1748441835.6238184,58,0.6715046167373657
1748441838.898288,59,0.6801906228065491
1748441842.2530787,60,0.68372642993927
