               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.061902,            0.063284,            0.070657,              0.8024,            0.074988,            0.095564,            0.040165,            0.060055,            0.036594,            0.066536,            0.006337,            0.006337,            0.006337
                  39,            0.064429,            0.061183,            0.068432,              0.8113,             0.08554,             0.10008,            0.042263,            0.059028,            0.036919,            0.065918,            0.006238,            0.006238,            0.006238
                  40,            0.062699,            0.060934,            0.068594,              0.8125,            0.076812,            0.091673,            0.042048,            0.057067,            0.036765,            0.065567,            0.006139,            0.006139,            0.006139
                  41,            0.063501,            0.057996,             0.06492,              0.8051,            0.084075,             0.10305,            0.043255,            0.056016,            0.036545,            0.065144,             0.00604,             0.00604,             0.00604
                  42,            0.063177,            0.059326,            0.067034,             0.81948,            0.082341,             0.10521,            0.047839,            0.054376,            0.036336,            0.064899,            0.005941,            0.005941,            0.005941
                  43,            0.060327,            0.061198,            0.067427,              0.7952,            0.090253,             0.11273,             0.05231,            0.054521,            0.035794,            0.064583,            0.005842,            0.005842,            0.005842
                  44,            0.060712,            0.060875,            0.066866,             0.78485,            0.099234,             0.11644,             0.05367,            0.054642,            0.035761,            0.064262,            0.005743,            0.005743,            0.005743
                  45,            0.059648,            0.052208,            0.069748,             0.77273,            0.097235,             0.11067,            0.051207,            0.055103,            0.035789,            0.064133,            0.005644,            0.005644,            0.005644
                  46,            0.059916,            0.058721,            0.065908,             0.78849,             0.10065,              0.1218,            0.052397,            0.055515,             0.03548,            0.063904,            0.005545,            0.005545,            0.005545
                  47,            0.057198,            0.058505,            0.065256,             0.85817,            0.077135,             0.12517,            0.060203,              0.0533,            0.035346,            0.063622,            0.005446,            0.005446,            0.005446
                  48,             0.05949,            0.055449,            0.067423,             0.84342,            0.097124,             0.13696,            0.067549,            0.051711,            0.035113,            0.063328,            0.005347,            0.005347,            0.005347
                  49,              0.0577,            0.055986,            0.067337,             0.86288,            0.084764,             0.13621,            0.069705,            0.051994,            0.034683,             0.06308,            0.005248,            0.005248,            0.005248
                  50,            0.058019,            0.054206,            0.067174,             0.85073,            0.095927,             0.13681,            0.070519,            0.052039,            0.034593,            0.062843,            0.005149,            0.005149,            0.005149
                  51,            0.058557,            0.060427,            0.066483,             0.83807,             0.10476,             0.13488,            0.065676,            0.051618,            0.034398,            0.062584,             0.00505,             0.00505,             0.00505
                  52,            0.058414,            0.058057,            0.065546,             0.84993,            0.097933,             0.13683,            0.066437,            0.050994,             0.03412,            0.062279,            0.004951,            0.004951,            0.004951
                  53,             0.05651,            0.054097,            0.068232,              0.8632,             0.09349,             0.14247,            0.067024,            0.051058,            0.033926,            0.061886,            0.004852,            0.004852,            0.004852
                  54,            0.057563,            0.052105,            0.068299,             0.78191,             0.10104,             0.13211,            0.064382,            0.051965,             0.03432,            0.061737,            0.004753,            0.004753,            0.004753
                  55,            0.056053,            0.057004,            0.064217,             0.83155,             0.10726,              0.1421,            0.064249,             0.05268,            0.034135,            0.061451,            0.004654,            0.004654,            0.004654
                  56,            0.057171,            0.056726,            0.066942,             0.82916,              0.1001,             0.13878,            0.062687,            0.051431,            0.033733,            0.061279,            0.004555,            0.004555,            0.004555
                  57,            0.057035,            0.051023,            0.064976,             0.84421,             0.10314,             0.14137,            0.068399,             0.05032,            0.033386,            0.061039,            0.004456,            0.004456,            0.004456
                  58,            0.055234,            0.060258,            0.065316,             0.85819,            0.091151,             0.14694,            0.073782,            0.049136,            0.033119,            0.060831,            0.004357,            0.004357,            0.004357
                  59,            0.055841,            0.053348,            0.062209,             0.88313,            0.098195,             0.15424,            0.078247,            0.048948,            0.032823,            0.060537,            0.004258,            0.004258,            0.004258
                  60,            0.055883,            0.053653,            0.063869,             0.87507,             0.10433,             0.16183,            0.085801,             0.04812,            0.032891,            0.060322,            0.004159,            0.004159,            0.004159
                  61,             0.05398,            0.057755,            0.065593,              0.8646,             0.10257,             0.16782,              0.0884,             0.04925,            0.032799,            0.060144,             0.00406,             0.00406,             0.00406
                  62,            0.056093,            0.053566,            0.065059,             0.88345,             0.10294,             0.16167,            0.082361,             0.04856,            0.032475,            0.060034,            0.003961,            0.003961,            0.003961
                  63,            0.052425,            0.056037,            0.064054,              0.8956,            0.091837,             0.17124,            0.084377,            0.048572,            0.032411,            0.059845,            0.003862,            0.003862,            0.003862
                  64,            0.054366,            0.053941,            0.063173,             0.89705,            0.093436,             0.17982,            0.092057,            0.048102,             0.03222,            0.059603,            0.003763,            0.003763,            0.003763
                  65,            0.054086,            0.057436,            0.061564,             0.89762,            0.096741,             0.17535,             0.08929,            0.047942,            0.032144,            0.059429,            0.003664,            0.003664,            0.003664
                  66,            0.051967,            0.051336,            0.063688,             0.89788,            0.087815,             0.17401,            0.091946,            0.047421,            0.032063,            0.059189,            0.003565,            0.003565,            0.003565
                  67,            0.053554,             0.05828,             0.06167,             0.83818,             0.12248,             0.17324,            0.091564,            0.046837,            0.032093,            0.059027,            0.003466,            0.003466,            0.003466
                  68,            0.052781,            0.053308,            0.061999,             0.82902,              0.1253,             0.17148,             0.09445,            0.046665,             0.03168,            0.058876,            0.003367,            0.003367,            0.003367
                  69,            0.052131,             0.05903,            0.063367,             0.83395,             0.12154,             0.17907,            0.096555,            0.046951,            0.031446,            0.058664,            0.003268,            0.003268,            0.003268
                  70,            0.053149,            0.064881,            0.061011,              0.8113,             0.13716,              0.1824,            0.096078,            0.047037,            0.031945,            0.058491,            0.003169,            0.003169,            0.003169
                  71,            0.051777,            0.056466,            0.063285,             0.81283,             0.13281,              0.1835,            0.099034,            0.045815,            0.031858,            0.058395,             0.00307,             0.00307,             0.00307
                  72,            0.052465,            0.055859,             0.06105,              0.8363,             0.13196,             0.18779,            0.099782,            0.045194,            0.030975,            0.058226,            0.002971,            0.002971,            0.002971
                  73,             0.05057,            0.055398,             0.06392,             0.83876,              0.1352,             0.19114,             0.10254,            0.045216,            0.030723,            0.057978,            0.002872,            0.002872,            0.002872
                  74,             0.05211,            0.056642,            0.061936,             0.90152,             0.10492,             0.18892,            0.099396,            0.044941,            0.030613,            0.057724,            0.002773,            0.002773,            0.002773
                  75,             0.05217,            0.059559,            0.061254,             0.87417,             0.10326,             0.18398,            0.096288,             0.04452,            0.030643,            0.057598,            0.002674,            0.002674,            0.002674
                  76,            0.052071,            0.050397,            0.059461,             0.84963,             0.12006,             0.18305,            0.097145,            0.044861,            0.030794,            0.057438,            0.002575,            0.002575,            0.002575
                  77,            0.049338,            0.051798,            0.058634,             0.84087,             0.13415,              0.1852,            0.097836,            0.045118,            0.030552,            0.057232,            0.002476,            0.002476,            0.002476
                  78,            0.050896,            0.053917,            0.059744,             0.91886,             0.10506,             0.18571,             0.10258,            0.044734,            0.030345,            0.057123,            0.002377,            0.002377,            0.002377
                  79,            0.051768,            0.054364,            0.062331,             0.83833,             0.14071,              0.1907,             0.10121,            0.044796,            0.030463,            0.056953,            0.002278,            0.002278,            0.002278
                  80,            0.049626,            0.047932,            0.061567,             0.84598,              0.1357,             0.19519,             0.10487,            0.044566,            0.030389,            0.056799,            0.002179,            0.002179,            0.002179
                  81,            0.052212,            0.057186,              0.0614,             0.84401,             0.13667,             0.19552,             0.10582,            0.044031,            0.030236,            0.056688,             0.00208,             0.00208,             0.00208
                  82,            0.052324,            0.049104,            0.061662,              0.8483,             0.14508,             0.19457,             0.10448,            0.045628,            0.030331,            0.056467,            0.001981,            0.001981,            0.001981
                  83,            0.048915,            0.054624,            0.059926,             0.85861,             0.13865,             0.20157,             0.11234,            0.043771,            0.030282,            0.056316,            0.001882,            0.001882,            0.001882
