               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.089901,            0.078967,            0.084289,            0.005325,            0.055024,            0.011195,           0.0030132,            0.088675,            0.052343,              0.0826,            0.006436,            0.006436,            0.006436
                  38,            0.089424,            0.082549,            0.085023,           0.0060696,            0.031328,           0.0074364,           0.0010897,            0.089754,            0.051437,            0.085094,            0.006337,            0.006337,            0.006337
                  39,            0.089343,            0.079875,            0.081763,           0.0048025,            0.050182,           0.0059312,           0.0011812,            0.088592,            0.051619,            0.082462,            0.006238,            0.006238,            0.006238
                  40,            0.088156,            0.080446,            0.081118,            0.003056,            0.038881,           0.0066716,           0.0015768,            0.088173,            0.052065,            0.082035,            0.006139,            0.006139,            0.006139
                  41,            0.089722,            0.075918,            0.078918,            0.002296,            0.049621,           0.0042038,           0.0011375,            0.087656,            0.052025,            0.081432,             0.00604,             0.00604,             0.00604
                  42,            0.089542,            0.077357,            0.081028,           0.0025347,            0.046207,            0.010417,           0.0031167,            0.086778,            0.052805,            0.081593,            0.005941,            0.005941,            0.005941
                  43,            0.086246,            0.082345,             0.08242,             0.93201,           0.0088341,            0.011288,           0.0054129,            0.086742,            0.052147,            0.081551,            0.005842,            0.005842,            0.005842
                  44,            0.086066,            0.082371,            0.079869,             0.81049,            0.019082,            0.014612,            0.005938,            0.085333,            0.053177,             0.08049,            0.005743,            0.005743,            0.005743
                  45,            0.086133,            0.071161,            0.084092,             0.73455,            0.020099,            0.011105,           0.0047781,            0.086332,            0.051876,            0.080799,            0.005644,            0.005644,            0.005644
                  46,             0.08707,            0.079602,            0.081284,             0.88753,            0.012799,           0.0086731,           0.0028098,            0.085338,             0.05241,            0.080669,            0.005545,            0.005545,            0.005545
                  47,            0.084867,            0.079757,            0.080256,           0.0034557,            0.055962,           0.0058438,           0.0016911,            0.086743,            0.051525,            0.083042,            0.005446,            0.005446,            0.005446
                  48,            0.085458,            0.076241,            0.081689,           0.0030028,            0.056289,            0.010202,           0.0044809,            0.084515,            0.051857,            0.080482,            0.005347,            0.005347,            0.005347
                  49,            0.085018,            0.075988,            0.082326,             0.93364,            0.010637,            0.016249,           0.0060047,            0.084128,            0.051941,             0.07983,            0.005248,            0.005248,            0.005248
                  50,            0.084245,            0.074655,            0.081841,           0.0034725,            0.084774,            0.018441,           0.0070628,              0.0833,            0.052383,            0.079845,            0.005149,            0.005149,            0.005149
                  51,             0.08542,            0.083329,            0.080664,           0.0026348,            0.079099,            0.012096,           0.0040328,            0.082812,            0.052187,            0.079739,             0.00505,             0.00505,             0.00505
                  52,            0.084187,            0.080661,            0.080518,           0.0026793,            0.070741,             0.01222,           0.0032478,             0.08268,            0.052334,            0.079399,            0.004951,            0.004951,            0.004951
                  53,            0.083742,             0.07352,            0.082012,           0.0033205,            0.088762,            0.013578,           0.0036669,            0.082514,            0.051611,            0.079891,            0.004852,            0.004852,            0.004852
                  54,            0.084559,            0.071108,            0.084203,              0.0044,            0.059338,           0.0099858,           0.0022222,             0.08518,            0.052109,            0.083305,            0.004753,            0.004753,            0.004753
                  55,            0.083956,            0.079962,            0.079529,           0.0019391,            0.056628,           0.0087561,            0.002151,            0.084965,            0.051577,            0.082184,            0.004654,            0.004654,            0.004654
                  56,            0.084117,            0.079812,            0.082016,           0.0034226,            0.068712,            0.015036,           0.0048306,             0.08296,            0.051962,            0.081066,            0.004555,            0.004555,            0.004555
                  57,            0.082989,            0.072143,             0.08075,            0.003058,            0.056977,            0.013799,           0.0054317,            0.082616,            0.052134,            0.081123,            0.004456,            0.004456,            0.004456
                  58,            0.081832,            0.085183,            0.080799,           0.0045855,            0.068128,            0.014786,           0.0076592,            0.083343,            0.051386,            0.080788,            0.004357,            0.004357,            0.004357
                  59,            0.082111,             0.07512,            0.079144,           0.0040269,            0.084458,            0.015667,           0.0087809,            0.082041,            0.051439,            0.079395,            0.004258,            0.004258,            0.004258
                  60,            0.082056,            0.075755,            0.079139,             0.87778,            0.012362,            0.030463,            0.012575,            0.080221,            0.051794,            0.078484,            0.004159,            0.004159,            0.004159
                  61,            0.081724,            0.081491,            0.082382,           0.0045577,             0.10512,            0.029604,            0.010951,            0.080825,             0.05163,            0.079346,             0.00406,             0.00406,             0.00406
                  62,            0.082216,            0.074835,            0.081174,             0.95941,           0.0087557,            0.022863,            0.008925,            0.079087,            0.051868,            0.077557,            0.003961,            0.003961,            0.003961
                  63,            0.079491,            0.081861,            0.081579,             0.94921,           0.0081727,            0.017194,           0.0077882,            0.078959,            0.051146,            0.078186,            0.003862,            0.003862,            0.003862
                  64,            0.080884,            0.078292,            0.080118,           0.0056271,             0.11382,            0.015158,            0.006849,            0.079462,            0.050995,            0.078747,            0.003763,            0.003763,            0.003763
