Wall time,Step,Value
1748349566.9203346,0,0.09369999915361404
1748349570.6706183,1,0.08648514747619629
1748349574.1668432,2,0.07925446331501007
1748349577.4406247,3,0.0720079317688942
1748349580.950087,4,0.06474556028842926
1748349584.4257758,5,0.057467348873615265
1748349587.6598053,6,0.05017330124974251
1748349590.881057,7,0.04286340996623039
1748349594.371917,8,0.03553767874836922
1748349597.6758876,9,0.02819610945880413
1748349601.0434852,10,0.020838700234889984
1748349604.251673,11,0.013465450145304203
1748349607.7486186,12,0.008812000043690205
1748349611.054842,13,0.008812000043690205
1748349614.5755796,14,0.00871300045400858
1748349617.8399775,15,0.00861399993300438
1748349621.120432,16,0.008515000343322754
1748349624.4712846,17,0.008415999822318554
1748349628.0064127,18,0.008317000232636929
1748349631.5290735,19,0.008217999711632729
1748349634.8319824,20,0.008119000121951103
1748349638.1510885,21,0.008019999600946903
1748349641.3860004,22,0.007921000011265278
1748349644.6362777,23,0.007822000421583652
1748349648.1966372,24,0.0077229999005794525
1748349651.478378,25,0.00762399984523654
1748349655.1755433,26,0.007524999789893627
1748349659.0968916,27,0.007426000200212002
1748349663.6756868,28,0.007327000144869089
1748349667.2830923,29,0.0072280000895261765
1748349670.7106507,30,0.007129000034183264
1748349674.0909433,31,0.007029999978840351
1748349677.513506,32,0.006930999923497438
1748349681.2758064,33,0.006831999868154526
1748349684.8371575,34,0.006732999812811613
1748349688.507896,35,0.006634000223129988
1748349691.9801695,36,0.006535000167787075
1748349695.6974292,37,0.006436000112444162
1748349699.2759955,38,0.00633700005710125
1748349702.9498909,39,0.006238000001758337
1748349706.660629,40,0.006138999946415424
1748349710.5886476,41,0.006039999891072512
1748441781.4311943,42,0.005940999835729599
1748441784.9376402,43,0.005841999780386686
1748441788.4216821,44,0.005743000190705061
1748441791.9864895,45,0.005644000135362148
1748441795.411297,46,0.005545000080019236
1748441798.9331641,47,0.005446000024676323
1748441802.1693864,48,0.00534699996933341
1748441805.4974973,49,0.005247999913990498
1748441808.8034592,50,0.005148999858647585
1748441812.2465148,51,0.005049999803304672
1748441815.5421803,52,0.004951000213623047
1748441818.9208016,53,0.004852000158280134
1748441822.3091855,54,0.0047530001029372215
1748441825.6282046,55,0.004654000047594309
1748441828.9952662,56,0.004554999992251396
1748441832.4041877,57,0.0044559999369084835
1748441835.6238184,58,0.004356999881565571
1748441838.898288,59,0.004257999826222658
1748441842.2530787,60,0.0041589997708797455
