Wall time,Step,Value
1748349566.9203346,0,0.6885901093482971
1748349570.6706183,1,0.743296205997467
1748349574.1668432,2,0.7737611532211304
1748349577.4396234,3,0.731560230255127
1748349580.950087,4,0.7270411252975464
1748349584.4257758,5,0.7801597714424133
1748349587.6598053,6,0.7519582509994507
1748349590.881057,7,0.7390773892402649
1748349594.371917,8,0.7375313639640808
1748349597.6758876,9,0.7794715166091919
1748349601.0434852,10,0.7530121803283691
1748349604.251673,11,0.7952536940574646
1748349607.7486186,12,0.7650664448738098
1748349611.053337,13,0.8115048408508301
1748349614.5755796,14,0.8117802739143372
1748349617.8399775,15,0.8355498313903809
1748349621.120432,16,0.858680784702301
1748349624.4712846,17,0.8537610173225403
1748349628.0064127,18,0.8292824029922485
1748349631.5290735,19,0.8535460829734802
1748349634.8319824,20,0.8244069218635559
1748349638.1510885,21,0.8188292384147644
1748349641.3860004,22,0.7708606123924255
1748349644.6362777,23,0.794443666934967
1748349648.1966372,24,0.8152448534965515
1748349651.478378,25,0.8312469720840454
1748349655.1755433,26,0.793181836605072
1748349659.0953007,27,0.7971763610839844
1748349663.6756868,28,0.8087188005447388
1748349667.2830923,29,0.8315730094909668
1748349670.7106507,30,0.814579427242279
1748349674.0909433,31,0.8449393510818481
1748349677.513506,32,0.8383869528770447
1748349681.2758064,33,0.8646243810653687
1748349684.8371575,34,0.8966047763824463
1748349688.507896,35,0.8804010152816772
1748349691.9801695,36,0.8992749452590942
1748349695.6974292,37,0.896601140499115
1748349699.2759955,38,0.8829740881919861
1748349702.9498909,39,0.8940871357917786
1748349706.660629,40,0.8949664831161499
1748349710.5886476,41,0.9122157096862793
1748441781.4311943,42,0.8810919523239136
1748441784.936601,43,0.8936874866485596
1748441788.420642,44,0.895125687122345
1748441791.9864895,45,0.876733660697937
1748441795.411297,46,0.8672764897346497
1748441798.9331641,47,0.89646315574646
1748441802.1693864,48,0.8747133612632751
1748441805.4974973,49,0.8680199980735779
1748441808.8034592,50,0.8927986025810242
1748441812.2465148,51,0.8666800856590271
1748441815.5421803,52,0.8758285641670227
1748441818.9208016,53,0.9086602926254272
1748441822.3091855,54,0.9055572748184204
1748441825.6282046,55,0.9107553958892822
1748441828.9952662,56,0.8949678540229797
1748441832.4041877,57,0.8867283463478088
1748441835.6238184,58,0.8880940675735474
1748441838.898288,59,0.9061147570610046
1748441842.2530787,60,0.9036165475845337
