Wall time,Step,Value
1748349566.9203346,0,0.6854780912399292
1748349570.6706183,1,0.7359124422073364
1748349574.1668432,2,0.7456952333450317
1748349577.4406247,3,0.7647886276245117
1748349580.950087,4,0.7746725678443909
1748349584.4257758,5,0.7927388548851013
1748349587.6598053,6,0.7791076898574829
1748349590.881057,7,0.7912726998329163
1748349594.371917,8,0.7883034348487854
1748349597.6758876,9,0.8086048364639282
1748349601.0434852,10,0.7992266416549683
1748349604.251673,11,0.8143349289894104
1748349607.7486186,12,0.8145949244499207
1748349611.053337,13,0.8349705338478088
1748349614.5755796,14,0.8237318992614746
1748349617.8399775,15,0.8368297219276428
1748349621.120432,16,0.8387699127197266
1748349624.4712846,17,0.8431409597396851
1748349628.0064127,18,0.8532089591026306
1748349631.5290735,19,0.8534755110740662
1748349634.8319824,20,0.8621811866760254
1748349638.1510885,21,0.864118754863739
1748349641.3860004,22,0.8520166277885437
1748349644.6362777,23,0.8798283338546753
1748349648.1966372,24,0.8824136257171631
1748349651.478378,25,0.8962458372116089
1748349655.1755433,26,0.8869085907936096
1748349659.0953007,27,0.8905814290046692
1748349663.6756868,28,0.8949729204177856
1748349667.2830923,29,0.9011420607566833
1748349670.7106507,30,0.8999189138412476
1748349674.0909433,31,0.9052484035491943
1748349677.513506,32,0.9000235795974731
1748349681.2758064,33,0.9006766676902771
1748349684.8371575,34,0.9159693717956543
1748349688.507896,35,0.9132653474807739
1748349691.9801695,36,0.9202569127082825
1748349695.6974292,37,0.9176348447799683
1748349699.2759955,38,0.9148252606391907
1748349702.9498909,39,0.9203805327415466
1748349706.660629,40,0.9077149033546448
1748349710.5886476,41,0.9096671342849731
1748441781.4311943,42,0.9052548408508301
1748441784.936601,43,0.9099624752998352
1748441788.420642,44,0.9071115851402283
1748441791.9864895,45,0.9165209531784058
1748441795.411297,46,0.9202566146850586
1748441798.9331641,47,0.9174754023551941
1748441802.1693864,48,0.9184699058532715
1748441805.4974973,49,0.9260120987892151
1748441808.8034592,50,0.9277066588401794
1748441812.2465148,51,0.9277520775794983
1748441815.5421803,52,0.9187142252922058
1748441818.9208016,53,0.9312230348587036
1748441822.3091855,54,0.9273161292076111
1748441825.6282046,55,0.9230232238769531
1748441828.9952662,56,0.9432708024978638
1748441832.4041877,57,0.9416245222091675
1748441835.6238184,58,0.9311500787734985
1748441838.898288,59,0.939339816570282
1748441842.2530787,60,0.9399790167808533
