Wall time,Step,Value
1748349566.9203346,0,0.5987225770950317
1748349570.6706183,1,0.6491710543632507
1748349574.1668432,2,0.6470606327056885
1748349577.4406247,3,0.6848238110542297
1748349580.950087,4,0.7091821432113647
1748349584.4257758,5,0.7174113392829895
1748349587.6598053,6,0.7362532019615173
1748349590.881057,7,0.7401499152183533
1748349594.371917,8,0.734340250492096
1748349597.6758876,9,0.764298141002655
1748349601.0434852,10,0.770893394947052
1748349604.251673,11,0.7492733597755432
1748349607.7486186,12,0.7646563649177551
1748349611.053337,13,0.7817274928092957
1748349614.5755796,14,0.7449845671653748
1748349617.8399775,15,0.7777180075645447
1748349621.120432,16,0.7600263357162476
1748349624.4712846,17,0.7617620825767517
1748349628.0064127,18,0.7898041605949402
1748349631.5290735,19,0.7903138995170593
1748349634.8319824,20,0.8101162910461426
1748349638.1510885,21,0.8043235540390015
1748349641.3860004,22,0.841208279132843
1748349644.6362777,23,0.8502365946769714
1748349648.1966372,24,0.8341507315635681
1748349651.478378,25,0.8373340368270874
1748349655.1755433,26,0.8511117696762085
1748349659.0953007,27,0.8260465860366821
1748349663.6756868,28,0.8367195725440979
1748349667.2830923,29,0.8227634429931641
1748349670.7106507,30,0.8331473469734192
1748349674.0909433,31,0.8323721885681152
1748349677.513506,32,0.8358845710754395
1748349681.2758064,33,0.82892245054245
1748349684.8371575,34,0.8415922522544861
1748349688.507896,35,0.8474975824356079
1748349691.9801695,36,0.8457406759262085
1748349695.6974292,37,0.8382871747016907
1748349699.2759955,38,0.8475239276885986
1748349702.9498909,39,0.8514631390571594
1748349706.660629,40,0.8416363596916199
1748349710.5886476,41,0.8212202191352844
1748441781.4311943,42,0.8366591930389404
1748441784.936601,43,0.8444790840148926
1748441788.420642,44,0.8435112237930298
1748441791.9864895,45,0.8575669527053833
1748441795.411297,46,0.8789342641830444
1748441798.9331641,47,0.8420670628547668
1748441802.1693864,48,0.8745443224906921
1748441805.4974973,49,0.8848022222518921
1748441808.8034592,50,0.8647976517677307
1748441812.2465148,51,0.893257737159729
1748441815.5421803,52,0.8771153688430786
1748441818.9208016,53,0.8756439685821533
1748441822.3091855,54,0.87782883644104
1748441825.6282046,55,0.872922956943512
1748441828.9952662,56,0.8877903819084167
1748441832.4041877,57,0.8895240426063538
1748441835.6238184,58,0.8759536147117615
1748441838.898288,59,0.8757065534591675
1748441842.2530787,60,0.8731053471565247
