               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.040824,            0.046109,           0.0071118,             0.89927,             0.84574,             0.92026,             0.61701,            0.035283,            0.024593,           0.0030721,            0.006535,            0.006535,            0.006535
                  37,            0.039702,            0.044934,           0.0070833,              0.8966,             0.83829,             0.91763,             0.61673,            0.035865,            0.024314,           0.0030826,            0.006436,            0.006436,            0.006436
                  38,            0.039693,            0.045407,           0.0065765,             0.88297,             0.84752,             0.91483,              0.6205,              0.0353,            0.024287,           0.0030962,            0.006337,            0.006337,            0.006337
                  39,            0.040437,            0.044026,           0.0066551,             0.89409,             0.85146,             0.92038,             0.62761,            0.034126,            0.024373,           0.0031015,            0.006238,            0.006238,            0.006238
                  40,            0.037646,            0.043753,           0.0074404,             0.89497,             0.84164,             0.90771,             0.61489,            0.035289,            0.024789,            0.003046,            0.006139,            0.006139,            0.006139
                  41,            0.038845,            0.042179,           0.0072803,             0.91222,             0.82122,             0.90967,             0.63848,            0.034174,            0.023813,           0.0029439,             0.00604,             0.00604,             0.00604
                  42,            0.038015,            0.043529,           0.0068486,             0.88109,             0.83666,             0.90525,             0.61769,            0.034364,            0.024213,           0.0029465,            0.005941,            0.005941,            0.005941
                  43,            0.038076,            0.042082,           0.0070627,             0.89369,             0.84448,             0.90996,             0.63122,            0.034704,            0.024313,           0.0029927,            0.005842,            0.005842,            0.005842
                  44,            0.037897,            0.048037,           0.0071453,             0.89513,             0.84351,             0.90711,             0.64056,            0.032409,            0.024014,           0.0030189,            0.005743,            0.005743,            0.005743
                  45,            0.037934,            0.042597,            0.006218,             0.87673,             0.85757,             0.91652,             0.63219,            0.034513,            0.024123,           0.0030245,            0.005644,            0.005644,            0.005644
                  46,            0.039247,            0.042967,             0.00606,             0.86728,             0.87893,             0.92026,             0.64528,            0.033634,            0.023774,            0.002957,            0.005545,            0.005545,            0.005545
                  47,             0.03792,            0.039446,           0.0067148,             0.89646,             0.84207,             0.91748,             0.62419,            0.034569,            0.023881,           0.0029092,            0.005446,            0.005446,            0.005446
                  48,            0.037809,            0.036252,           0.0060956,             0.87471,             0.87454,             0.91847,             0.64485,            0.033616,            0.023409,           0.0028516,            0.005347,            0.005347,            0.005347
                  49,            0.039065,            0.044243,           0.0054152,             0.86802,              0.8848,             0.92601,             0.61514,            0.035231,            0.023625,            0.002812,            0.005248,            0.005248,            0.005248
                  50,            0.037548,            0.041754,           0.0058791,              0.8928,              0.8648,             0.92771,             0.63236,            0.033771,            0.023103,           0.0027957,            0.005149,            0.005149,            0.005149
                  51,            0.037057,            0.039688,           0.0057757,             0.86668,             0.89326,             0.92775,             0.61839,            0.034799,              0.0232,           0.0027843,             0.00505,             0.00505,             0.00505
                  52,            0.038705,            0.044945,           0.0054328,             0.87583,             0.87712,             0.91871,             0.64827,            0.032773,            0.022847,           0.0027606,            0.004951,            0.004951,            0.004951
                  53,            0.036335,            0.039877,           0.0052846,             0.90866,             0.87564,             0.93122,             0.65854,            0.033161,            0.022828,           0.0027599,            0.004852,            0.004852,            0.004852
                  54,            0.035532,            0.036289,           0.0061224,             0.90556,             0.87783,             0.92732,             0.67487,            0.031597,            0.022393,           0.0027572,            0.004753,            0.004753,            0.004753
                  55,            0.036391,             0.04163,            0.006083,             0.91076,             0.87292,             0.92302,             0.65452,            0.032818,            0.022566,           0.0027856,            0.004654,            0.004654,            0.004654
                  56,            0.035483,            0.035295,           0.0054118,             0.89497,             0.88779,             0.94327,             0.67945,            0.032347,             0.02239,           0.0027959,            0.004555,            0.004555,            0.004555
                  57,            0.035533,            0.038436,           0.0053242,             0.88673,             0.88952,             0.94162,             0.66592,            0.033083,            0.022404,           0.0027899,            0.004456,            0.004456,            0.004456
                  58,            0.038386,            0.036151,           0.0056302,             0.88809,             0.87595,             0.93115,              0.6715,            0.032063,            0.022257,           0.0027826,            0.004357,            0.004357,            0.004357
                  59,            0.033726,            0.035469,           0.0051053,             0.90611,             0.87571,             0.93934,             0.68019,            0.031247,            0.021857,           0.0027755,            0.004258,            0.004258,            0.004258
                  60,            0.033695,            0.036126,           0.0051842,             0.90362,             0.87311,             0.93998,             0.68373,            0.030597,             0.02154,           0.0027786,            0.004159,            0.004159,            0.004159
